epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3092.22,0.38651,0.81622,0.94102,0.9119,0.86406,0.94156,0.88997,0.3677,0.54426,0.91284,6.9264e-05,6.9264e-05,6.9264e-05
58,3139.01,0.40244,0.82199,0.94969,0.90525,0.86174,0.94414,0.89871,0.36286,0.52801,0.91231,6.45544e-05,6.45544e-05,6.45544e-05
59,3190.48,0.40091,0.81781,0.95964,0.92495,0.85609,0.93872,0.89106,0.37127,0.5349,0.91782,5.98449e-05,5.98449e-05,5.98449e-05
60,3235.55,0.39598,0.81814,0.9591,0.9024,0.88268,0.94297,0.89624,0.35632,0.53291,0.90662,5.51353e-05,5.51353e-05,5.51353e-05
61,3299.3,0.24715,0.8254,0.84559,0.91439,0.86128,0.93764,0.88801,0.36874,0.65468,0.91346,5.04257e-05,5.04257e-05,5.04257e-05
62,3352.3,0.23445,0.7971,0.83503,0.91568,0.86971,0.92862,0.88207,0.35327,0.57797,0.90349,4.57161e-05,4.57161e-05,4.57161e-05
63,3404.67,0.23782,0.7517,0.81665,0.94046,0.82095,0.93537,0.88695,0.34866,0.54552,0.89732,4.10066e-05,4.10066e-05,4.10066e-05
64,3456.79,0.23591,0.75506,0.83736,0.93757,0.85384,0.94565,0.89683,0.34815,0.52534,0.8994,3.6297e-05,3.6297e-05,3.6297e-05
65,3508.78,0.22074,0.71715,0.82886,0.92818,0.84393,0.9398,0.88818,0.34862,0.5434,0.89825,3.15874e-05,3.15874e-05,3.15874e-05
66,3557.18,0.22734,0.73024,0.83147,0.90629,0.86591,0.94021,0.89009,0.35246,0.54559,0.90373,2.68779e-05,2.68779e-05,2.68779e-05
67,3605.93,0.21727,0.71199,0.83393,0.91531,0.88557,0.94564,0.89638,0.34683,0.50556,0.90095,2.21683e-05,2.21683e-05,2.21683e-05
68,3656.55,0.22276,0.71431,0.83091,0.91735,0.883,0.94739,0.89826,0.34789,0.49754,0.89944,1.74587e-05,1.74587e-05,1.74587e-05
69,3711,0.21908,0.70585,0.82355,0.9107,0.8775,0.94762,0.90019,0.3458,0.49324,0.89869,1.27491e-05,1.27491e-05,1.27491e-05
70,3762.77,0.21683,0.70753,0.82072,0.92157,0.87142,0.94952,0.90572,0.34608,0.49442,0.89801,8.03957e-06,8.03957e-06,8.03957e-06
